,time,extra_obs,special,type,lat,lon,vmax,mslp,wmo_basin,storm_name,year,Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,name,elevation
0,1980-07-31 12:00:00,0,,DB,11.0,-30.0,25,,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
1,1980-07-31 18:00:00,0,,DB,10.9,-32.2,25,,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
2,1980-08-01 00:00:00,0,,TD,10.8,-34.3,30,1010.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
3,1980-08-01 06:00:00,0,,TD,10.7,-36.4,30,1009.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
4,1980-08-01 12:00:00,0,,TD,10.7,-38.6,30,1008.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
5,1980-08-01 18:00:00,0,,TD,10.7,-40.7,30,1006.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
6,1980-08-02 00:00:00,0,,TS,11.0,-42.8,35,1005.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
7,1980-08-02 06:00:00,0,,TS,11.4,-44.8,45,1000.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
8,1980-08-02 12:00:00,0,,TS,11.9,-46.9,55,995.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
9,1980-08-02 18:00:00,0,,TS,12.3,-49.1,60,990.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
10,1980-08-03 00:00:00,0,,HU,12.4,-51.4,65,985.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
11,1980-08-03 06:00:00,0,,HU,12.6,-53.6,70,980.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
12,1980-08-03 12:00:00,0,,HU,12.8,-55.6,80,975.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
13,1980-08-03 18:00:00,0,,HU,12.9,-57.5,95,965.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
14,1980-08-04 00:00:00,0,,HU,13.3,-59.1,110,950.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,0.0
15,1980-08-04 06:00:00,0,,HU,13.6,-61.0,115,948.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,0.0
16,1980-08-04 12:00:00,0,,HU,14.0,-63.0,125,945.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
17,1980-08-04 18:00:00,0,,HU,14.4,-64.9,130,930.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
18,1980-08-05 00:00:00,0,,HU,14.8,-66.7,140,911.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
19,1980-08-05 06:00:00,0,,HU,15.4,-68.6,145,916.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
20,1980-08-05 12:00:00,0,,HU,15.9,-70.5,155,932.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
21,1980-08-05 18:00:00,0,,HU,16.5,-72.3,150,940.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
22,1980-08-06 00:00:00,0,,HU,17.8,-73.8,140,945.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
23,1980-08-06 06:00:00,0,,HU,18.3,-75.9,115,955.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,0.0
24,1980-08-06 12:00:00,0,,HU,19.2,-78.0,115,955.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,0.0
25,1980-08-06 18:00:00,0,,HU,20.0,-80.1,125,955.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
26,1980-08-07 00:00:00,0,,HU,20.1,-81.9,135,945.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
27,1980-08-07 06:00:00,0,,HU,20.4,-83.6,145,935.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
28,1980-08-07 12:00:00,0,,HU,21.0,-84.8,155,910.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,0.0
29,1980-08-07 18:00:00,0,,HU,21.8,-86.4,165,899.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,0.0
30,1980-08-08 00:00:00,0,,HU,22.2,-87.9,155,920.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
31,1980-08-08 06:00:00,0,,HU,22.8,-89.2,130,945.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,0.0
32,1980-08-08 12:00:00,0,,HU,23.4,-90.5,115,960.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
33,1980-08-08 18:00:00,0,,HU,23.9,-91.8,130,940.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
34,1980-08-09 00:00:00,0,,HU,24.5,-93.0,145,912.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
35,1980-08-09 06:00:00,0,,HU,25.0,-94.2,155,909.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
36,1980-08-09 12:00:00,0,,HU,25.2,-95.4,140,916.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
37,1980-08-09 18:00:00,0,,HU,25.4,-96.1,125,925.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
38,1980-08-10 00:00:00,0,,HU,25.8,-96.8,110,935.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
39,1980-08-10 06:00:00,0,,HU,26.1,-97.2,100,945.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,0.0
40,1980-08-10 12:00:00,0,,HU,26.7,-98.1,85,960.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,22.0
41,1980-08-10 18:00:00,0,,HU,27.3,-99.0,70,970.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,259.0
42,1980-08-11 00:00:00,0,,TS,27.7,-99.8,60,990.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,156.0
43,1980-08-11 06:00:00,0,,TS,28.0,-100.9,45,1000.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,
44,1980-08-11 12:00:00,0,,TD,28.5,-101.9,30,1005.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,781.0
45,1980-08-11 18:00:00,0,,TD,28.9,-102.9,30,1008.0,north_atlantic,Allen,1980,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2165.4,13,Allen,886.0
46,1983-08-15 12:00:00,0,,TD,27.3,-90.5,30,1009.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,
47,1983-08-15 18:00:00,0,,TS,27.2,-91.0,40,1006.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,
48,1983-08-16 00:00:00,0,,TS,27.1,-91.5,45,1005.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,
49,1983-08-16 06:00:00,0,,TS,27.0,-92.0,50,1004.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,
50,1983-08-16 12:00:00,0,,TS,27.1,-92.4,55,1002.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,
51,1983-08-16 18:00:00,0,,TS,27.3,-92.8,60,998.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,
52,1983-08-17 00:00:00,0,,HU,27.4,-93.3,65,991.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,
53,1983-08-17 06:00:00,0,,HU,27.7,-93.7,70,987.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,
54,1983-08-17 12:00:00,0,,HU,27.9,-94.2,75,983.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,
55,1983-08-17 18:00:00,0,,HU,28.1,-94.5,90,974.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,
56,1983-08-18 00:00:00,0,,HU,28.4,-94.8,95,969.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,
57,1983-08-18 06:00:00,0,,HU,28.9,-95.0,100,963.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,
58,1983-08-18 07:00:00,1,L,HU,29.1,-95.1,100,962.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,4.0
59,1983-08-18 12:00:00,0,,HU,29.7,-95.5,80,965.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,24.0
60,1983-08-18 18:00:00,0,,TS,30.5,-96.0,40,990.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,109.0
61,1983-08-19 00:00:00,0,,TS,31.5,-96.7,35,998.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,145.0
62,1983-08-19 06:00:00,0,,TD,32.4,-97.4,30,1003.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,259.0
63,1983-08-19 12:00:00,0,,TD,33.3,-98.0,25,1006.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,316.0
64,1983-08-19 18:00:00,0,,TD,34.4,-98.5,25,1009.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,316.0
65,1983-08-20 00:00:00,0,,TD,35.4,-99.0,20,1010.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,470.0
66,1983-08-20 06:00:00,0,,EX,36.5,-99.4,20,1011.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,615.0
67,1983-08-20 12:00:00,0,,EX,37.6,-99.2,20,1011.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,677.0
68,1983-08-20 18:00:00,0,,EX,38.9,-99.0,20,1011.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,571.0
69,1983-08-21 00:00:00,0,,EX,40.0,-98.0,20,1010.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,466.0
70,1983-08-21 06:00:00,0,,EX,41.2,-97.0,20,1010.0,north_atlantic,Alicia,1983,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9150.0,21,Alicia,511.0
71,1985-08-28 00:00:00,0,,TD,19.8,-74.0,30,1012.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,0.0
72,1985-08-28 06:00:00,0,,TD,20.8,-76.0,30,1010.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,76.0
73,1985-08-28 12:00:00,0,,TD,21.8,-78.0,30,1008.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,30.0
74,1985-08-28 18:00:00,0,,TS,22.6,-80.0,45,1006.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,84.0
75,1985-08-29 00:00:00,0,,TS,23.2,-81.8,50,1004.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,0.0
76,1985-08-29 06:00:00,0,,TS,24.0,-83.5,55,1000.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
77,1985-08-29 12:00:00,0,,HU,25.0,-85.0,65,994.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
78,1985-08-29 18:00:00,0,,HU,25.9,-85.8,70,990.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
79,1985-08-30 00:00:00,0,,HU,26.6,-86.6,75,986.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
80,1985-08-30 06:00:00,0,,HU,27.3,-87.2,80,980.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
81,1985-08-30 12:00:00,0,,HU,27.9,-87.3,90,974.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
82,1985-08-30 18:00:00,0,,HU,28.3,-86.8,90,978.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
83,1985-08-31 00:00:00,0,,HU,28.4,-86.0,90,977.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
84,1985-08-31 06:00:00,0,,HU,28.6,-85.3,90,976.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
85,1985-08-31 12:00:00,0,,HU,28.8,-84.4,90,975.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
86,1985-08-31 18:00:00,0,,HU,28.8,-84.0,90,974.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
87,1985-09-01 00:00:00,0,,HU,28.8,-83.8,95,971.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
88,1985-09-01 06:00:00,0,,HU,28.6,-83.9,100,965.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
89,1985-09-01 12:00:00,0,,HU,28.6,-84.2,105,961.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
90,1985-09-01 18:00:00,0,,HU,28.9,-84.8,110,954.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
91,1985-09-02 00:00:00,0,,HU,29.4,-85.9,110,953.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,0.0
92,1985-09-02 06:00:00,0,,HU,29.7,-87.3,105,957.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,
93,1985-09-02 12:00:00,0,,HU,30.2,-88.8,100,959.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,0.0
94,1985-09-02 13:00:00,1,L,HU,30.4,-89.2,100,959.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,6.0
95,1985-09-02 18:00:00,0,,TS,31.0,-90.4,60,990.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,88.0
96,1985-09-03 00:00:00,0,,TS,31.9,-91.8,45,1000.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,20.0
97,1985-09-03 06:00:00,0,,TD,32.4,-92.8,30,1004.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,69.0
98,1985-09-03 12:00:00,0,,TD,33.2,-93.7,25,1006.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,68.0
99,1985-09-03 18:00:00,0,,TD,34.5,-94.0,25,1008.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,410.0
100,1985-09-04 00:00:00,0,,TD,35.9,-93.9,20,1010.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,456.0
101,1985-09-04 06:00:00,0,,TD,37.0,-93.2,20,1010.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,391.0
102,1985-09-04 12:00:00,0,,TD,38.0,-92.5,20,1010.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,275.0
103,1985-09-04 18:00:00,0,,TD,38.8,-91.4,20,1010.0,north_atlantic,Elena,1985,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3671.6,4,Elena,222.0
104,1985-09-16 12:00:00,0,,TD,13.3,-23.6,25,1009.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
105,1985-09-16 18:00:00,0,,TD,13.8,-24.8,25,1008.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
106,1985-09-17 00:00:00,0,,TD,14.1,-25.9,30,1008.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
107,1985-09-17 06:00:00,0,,TD,14.3,-27.1,30,1008.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
108,1985-09-17 12:00:00,0,,TS,14.6,-28.3,35,1007.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
109,1985-09-17 18:00:00,0,,TS,14.7,-29.6,35,1007.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
110,1985-09-18 00:00:00,0,,TS,14.9,-31.7,35,1006.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
111,1985-09-18 06:00:00,0,,TS,15.0,-33.8,35,1006.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
112,1985-09-18 12:00:00,0,,TS,15.1,-35.9,35,1006.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
113,1985-09-18 18:00:00,0,,TD,15.4,-38.1,30,1006.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
114,1985-09-19 00:00:00,0,,TD,15.8,-39.5,30,1006.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
115,1985-09-19 06:00:00,0,,TD,16.2,-40.9,30,1006.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
116,1985-09-19 12:00:00,0,,TD,16.6,-42.2,30,1006.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
117,1985-09-19 18:00:00,0,,TD,17.0,-43.8,30,1006.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
118,1985-09-20 00:00:00,0,,TS,17.2,-45.1,35,1005.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
119,1985-09-20 06:00:00,0,,TS,17.4,-46.7,40,1004.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
120,1985-09-20 12:00:00,0,,TS,17.5,-48.1,45,1003.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
121,1985-09-20 18:00:00,0,,TS,17.6,-49.8,45,1002.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
122,1985-09-21 00:00:00,0,,TS,17.7,-51.2,50,1001.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
123,1985-09-21 06:00:00,0,,TS,17.7,-52.8,55,1001.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
124,1985-09-21 12:00:00,0,,TS,17.7,-54.2,60,1000.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
125,1985-09-21 18:00:00,0,,HU,17.7,-55.3,65,1000.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
126,1985-09-22 00:00:00,0,,HU,17.8,-56.3,65,1000.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
127,1985-09-22 06:00:00,0,,HU,17.8,-57.1,70,996.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
128,1985-09-22 12:00:00,0,,HU,17.8,-58.2,70,992.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
129,1985-09-22 18:00:00,0,,HU,18.4,-59.0,65,990.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
130,1985-09-23 00:00:00,0,,HU,19.0,-60.2,65,990.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
131,1985-09-23 06:00:00,0,,HU,19.7,-61.5,65,989.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
132,1985-09-23 12:00:00,0,,HU,20.4,-62.9,65,987.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
133,1985-09-23 18:00:00,0,,HU,21.0,-64.2,75,980.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
134,1985-09-24 00:00:00,0,,HU,21.5,-65.5,95,956.0,north_atlantic,Gloria,1985,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2414.0,11,Gloria,
